,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중,상장주식수
362,6580,대양제지,"3,815",,-1.9,"3,870","3,920","3,780","71,676","274,102,500","102,432,750,000",0.01,"26,850,000"
363,6620,동구바이오제약,"20,050",,0.8,"19,800","20,050","19,700","30,508","607,114,200","192,560,200,000",0.01,"9,604,000"
364,6650,대한유화,"163,000",,1.6,"160,000","163,000","160,000","22,037","3,564,370,000","1,059,500,000,000",0.06,"6,500,000"
365,6660,삼성공조,"9,670",,-0.2,"9,670","9,740","9,630","6,218","60,108,180","78,581,456,380",0,"8,126,314"
366,6730,서부T&D,"9,960",,1.2,"9,800","10,000","9,800","125,631","1,248,232,510","516,637,221,720",0.03,"51,871,207"
367,6740,영풍제지,"3,645",,0.1,"3,620","3,645","3,585","39,031","141,109,505","80,919,000,000",0,"22,200,000"
368,6800,미래에셋대우,"7,820",,0.5,"7,710","7,820","7,680","1,137,073","8,837,713,890","5,148,034,310,560",0.3,"658,316,408"
369,6805,미래에셋대우우,"4,330",,0.9,"4,280","4,370","4,260","17,426","74,875,950","60,947,997,500",0,"14,075,750"
370,00680K,미래에셋대우2우B,"3,885",,0.4,"3,860","3,895","3,850","269,676","1,047,420,990","543,900,000,000",0.03,"140,000,000"
371,6840,AK홀딩스,"55,900",,0.4,"55,500","56,500","55,200","13,747","768,389,000","740,538,659,900",0.04,"13,247,561"
372,6880,신송홀딩스,"4,600",,1.1,"4,550","4,640","4,530","10,101","46,450,315","54,412,746,800",0,"11,828,858"
373,6890,태경화학,"6,230",,10.1,"5,690","6,280","5,690","2,188,825","13,300,320,180","72,268,000,000",0,"11,600,000"
374,6910,보성파워텍,"2,730",,1.1,"2,700","2,735","2,680","209,221","565,281,055","125,183,382,870",0.01,"45,854,719"
375,6920,모헨즈,"5,760",,-1.2,"5,830","5,860","5,750","61,349","354,097,410","62,899,200,000",0,"10,920,000"
376,6980,우성사료,"2,875",,1.2,"2,850","3,065","2,830","5,096,428","15,137,180,055","88,837,500,000",0.01,"30,900,000"
377,7070,GS리테일,"38,550",,2.5,"37,600","38,550","37,600","128,426","4,894,988,000","2,968,350,000,000",0.17,"77,000,000"
378,7110,일신석재,"2,655",,0.4,"2,670","2,710","2,645","3,802,803","10,166,304,490","205,647,299,550",0.01,"77,456,610"
379,7120,미래아이앤지,400,,1.3,399,401,390,"227,486","89,843,291","41,434,927,600",0,"103,587,319"
